Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		6,036 K	21,160 K	3424	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,688 K	8,220 K	2100	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,360 K	5,612 K	6844	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe		18,904 K	21,780 K	4324	Microsoft Windows Search Indexer	Microsoft Corporation
  armsvc.exe		1,448 K	6,992 K	6352	Adobe Acrobat Update Service	Adobe Systems
  svchost.exe		1,672 K	7,044 K	5876	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,672 K	6,984 K	8520	Host Process for Windows Services	Microsoft Corporation
 lsass.exe		6,808 K	17,676 K	552	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,272 K	3,116 K	684		
csrss.exe	1.86	1,748 K	5,144 K	460		
winlogon.exe		2,640 K	11,520 K	520		
 fontdrvhost.exe		7,192 K	15,740 K	676		
 dwm.exe	6.36	47,928 K	81,340 K	896		
explorer.exe	0.67	55,596 K	144,968 K	3588	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,688 K	8,560 K	6012	Windows Security notification icon	Microsoft Corporation
 OneDrive.exe		26,220 K	64,228 K	6096	Microsoft OneDrive	Microsoft Corporation
 chrome.exe	0.02	47,536 K	110,676 K	7236	Google Chrome	Google LLC
  chrome.exe		1,616 K	6,260 K	7220	Google Chrome	Google LLC
  chrome.exe		1,920 K	8,600 K	7348	Google Chrome	Google LLC
  chrome.exe		17,828 K	45,908 K	7448	Google Chrome	Google LLC
  chrome.exe	0.01	14,344 K	29,464 K	7452	Google Chrome	Google LLC
  chrome.exe		67,008 K	97,640 K	8408	Google Chrome	Google LLC
  chrome.exe		56,060 K	79,916 K	2132	Google Chrome	Google LLC
  chrome.exe		12,304 K	20,180 K	5356	Google Chrome	Google LLC
 procexp.exe		3,128 K	10,788 K	4956	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
  procexp64.exe	8.10	22,608 K	58,060 K	3892	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
GoogleCrashHandler.exe		1,704 K	128 K	5060		
GoogleCrashHandler64.exe		1,728 K	168 K	5632		
RdrCEF.exe		14,228 K	32,612 K	264	Adobe RdrCEF	Adobe Systems Incorporated
 RdrCEF.exe		55,184 K	72,260 K	5196	Adobe RdrCEF	Adobe Systems Incorporated

